metric_id,name,description,baseUnit,statistic,value,tags
2903,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.701,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2903,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2968,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,43.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2968,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.701,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
2968,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3033,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,43.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3033,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.701,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3033,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3098,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,43.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3098,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.701,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3098,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3163,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,43.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3163,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.701,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3163,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3228,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,43.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3228,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.701,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3228,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3293,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,43.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3293,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.701,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3293,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3358,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,43.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3358,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.701,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3358,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3423,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,43.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3423,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.701,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3423,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3488,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,43.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3488,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.701,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3488,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3553,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,44.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3553,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.703,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3553,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.002,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3618,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,44.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3618,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.703,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3618,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3683,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,44.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3683,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.703,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3683,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3748,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,44.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3748,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.703,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3748,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3813,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,44.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3813,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.703,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3813,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3878,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,44.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3878,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.703,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3878,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3943,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,44.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3943,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.703,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
3943,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
4008,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,44.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
4008,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.703,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
4008,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
4073,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,44.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
4073,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.703,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
4073,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
4138,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,44.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
4138,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.703,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
4138,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
