metric_id,name,description,baseUnit,statistic,value,tags
4772,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4772,http.server.requests.active,,seconds,DURATION,0.000216278,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4837,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4837,http.server.requests.active,,seconds,DURATION,0.000273974,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4902,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4902,http.server.requests.active,,seconds,DURATION,0.000218517,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4967,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
4967,http.server.requests.active,,seconds,DURATION,0.000174844,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
5032,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
5032,http.server.requests.active,,seconds,DURATION,0.000170849,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
5097,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
5097,http.server.requests.active,,seconds,DURATION,0.000339491,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
5162,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
5162,http.server.requests.active,,seconds,DURATION,0.000213975,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
